id,stageTemplateId,stageNumber,tier,stageTitle,mistake,npcLine,tanakaStatus_mentalHealth,tanakaStatus_awarenessLevel,inputText,pattern,harassmentScore,problemClarityScore,dialogueScore,supportScore,status,matchedRiskWords,matchedGoodWords,tags,notes,annotator,annotatedAt
s1_t1_001,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,今回の遅刻について確認させてください。会議開始が遅れ、チームに迷惑がかかりました。原因を教えてもらえますか。次回から会議10分前到着、出発15分早め、遅れそうなら出発前に連絡。チェックリストを作り、出発前リマインダーを設定。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage1|t1,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s1_t1_002,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,今回の遅刻について、次回から会議10分前到着、出発15分早め、遅れそうなら出発前に連絡。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage1|t1,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s1_t1_003,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,遅刻はダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage1|t1,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s1_t1_004,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,今回の遅刻は問題です。今後は時間を守るように。,border,28,52,15,10,clear,,,border|stage1|t1,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s1_t1_005,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,何回言えばわかるんだ。遅刻もできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage1|t1,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s1_t1_006,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,お前、遅刻すらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage1|t1|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s1_t1_007,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,今回の遅刻は許されません。会議開始が遅れ、チームに迷惑がかかりました。今後は会議10分前到着、出発15分早め、遅れそうなら出発前に連絡を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage1|t1,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s1_t1_008,stage1,1,t1,遅刻,田中が朝の会議に20分遅刻した,すみません、電車が遅れていて……,75,40,遅刻、問題です。次回から会議10分前到着、出発15分早め、遅れそうなら出発前に連絡。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage1|t1,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s2_t1_001,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,今回の宛先ミスについて確認させてください。お客様への誤送信は信頼に直結します。原因を教えてもらえますか。次回から送信前に宛先・件名・本文を声に出して確認、重要メールは上司確認。送信前チェックリストの作成。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage2|t1,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
s2_t1_002,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,今回の宛先ミスについて、次回から送信前に宛先・件名・本文を声に出して確認、重要メールは上司確認。困ったら早めに相談してください。,clear,12,65,35,55,clear,,次回から|相談,clear|stage2|t1,具体行動は十分。原因確認は弱いがクリア。,rubric_seed,2026-06-12
s2_t1_003,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,メールはダメだよ。次気をつけて。,insufficient,35,22,10,5,insufficient,,,insufficient|stage2|t1,問題点が30未満で指導不足。,rubric_seed,2026-06-12
s2_t1_004,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,今回の宛先ミスは問題です。今後はメールに注意ように。,border,28,52,15,10,clear,,,border|stage2|t1,問題点は明確。改善は抽象的だが、問題点の明確さが基準を満たすためクリア。,rubric_seed,2026-06-12
s2_t1_005,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,何回言えばわかるんだ。メールもできないのか。使えないな。,harassment,72,28,5,0,insufficient,何回言えばわかる|使えない,,harassment|stage2|t1,ハラスメント度72。80未満で労基エンドにはならない。,rubric_seed,2026-06-12
s2_t1_006,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,お前、メールすらまともにできないのか。社会人失格だ。辞めろ。,harassment,95,18,0,0,labor_consultation,お前|社会人失格|辞めろ,,harassment|stage2|t1|labor_consultation,人格否定＋解雇示唆。労基相談エンド。,rubric_seed,2026-06-12
s2_t1_007,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,今回の宛先ミスは許されません。お客様への誤送信は信頼に直結します。今後は送信前に宛先・件名・本文を声に出して確認、重要メールは上司確認を徹底してください。再発した場合は評価に反映します。,border,42,70,18,12,clear,,,border|stage2|t1,厳しいが業務範囲内と判断。対話・支援は低め。,rubric_seed,2026-06-12
s2_t1_008,stage2,2,t1,メール誤送信,田中がお客様宛メールの宛先を1件間違えた,送信前に確認すべきでした……,75,40,宛先ミス、問題です。次回から送信前に宛先・件名・本文を声に出して確認、重要メールは上司確認。以上。,border,15,68,22,28,clear,,次回から|確認,border|stage2|t1,対話・支援は低いが問題点が基準を満たす。,rubric_seed,2026-06-12
s2_t2_001,stage2,2,t2,報告漏れ,田中がトラブルを1時間放置し、上司に報告しなかった,自分で何とかできると思っていました……,75,40,今回の報告漏れについて確認させてください。トラブル放置は被害を拡大させます。原因を教えてもらえますか。次回から異常発見から30分以内に報告、自力対処前に必ず相談。報連相フローチャートの共有。困ったら早めに相談を。,clear,10,82,75,80,clear,,確認|次回から|相談,clear|stage2|t2,模範的な指導。問題特定→対話→具体行動→仕組み。,rubric_seed,2026-06-12
